# HyperSecurity_offensivelabs - PROFESSIONAL SECURITY TEST DATABASE
# RESTRICTED ACCESS - AUTHORIZED PERSONNEL ONLY
# Copyright (c) HyperSecurity_offensivelabs - All Rights Reserved
# This database contains REAL vulnerability tests for authorized security assessments only
# Unauthorized access or use is strictly prohibited
#
# Format: id,path,method,expected_status,content_indicators,severity,category,title,description,remediation
# Total Records: 223 (Stealth DoS & Nikto-evading vectors)
#
id,path,method,expected_status,content_indicators,severity,category,title,description,remediation
D-0183,/api/v1/thread-pool,POST,200,configured,High,DoS,Thread Pool Oversize,Oversized thread pools cause excessive context switching.,Cap thread pool max size.
D-0184,/api/v1/db-pool,POST,200,configured,High,DoS,Database Pool Exhaustion,Increasing DB pool creates too many database connections.,Set hard DB connection pool limit.
D-0185,/api/v1/redis-pool,POST,200,configured,Medium,DoS,Redis Pool Oversize,Oversized Redis connection pools exhaust redis server connections.,Limit Redis pool per service instance.
D-0186,/api/v1/queue-depth,POST,200,configured,High,DoS,Queue Depth Explosion,Queue depth without limit causes memory exhaustion.,Set bounded queue sizes.
D-0187,/api/v1/max-concurrent,POST,200,configured,High,DoS,Concurrency Limit Bypass,Moving concurrency limit to unlimited causes resource exhaustion.,Enforce absolute maximum concurrency.
D-0188,/api/v1/rate-limit/bypass,POST,200,bypassed,High,DoS,Rate Limit Bypass via Header,Rate limit checks skipped for certain header values.,Validate rate limit for all requests uniformly.
D-0189,/api/v1/auth/rate-limit,POST,200,authenticated,High,DoS,Auth Bypass Rate Limit,Authenticated users bypass rate limits entirely.,Apply rate limits regardless of auth status.
D-0190,/api/v1/ip-whitelist,POST,200,added,High,DoS,IP Whitelist Abuse,Adding IPs to whitelist bypasses all security controls.,Require admin approval for whitelist adds.
D-0191,/api/v1/maintenance,POST,200,enabled,High,DoS,Maintenance Mode Abuse,Toggling maintenance mode causes cascading service outages.,Restrict maintenance mode to admin only.
D-0192,/api/v1/feature-toggle,POST,200,toggled,Medium,DoS,Feature Toggle Storm,Rapid feature toggle changes cause config reload storms.,Rate-limit feature toggle changes.
D-0193,/api/v1/cache-strategy,POST,200,updated,Medium,DoS,Cache Strategy Abuse,Changing cache strategy purges all cached data.,Stagger cache strategy migrations.
D-0194,/api/v1/load-balancer,POST,200,updated,High,DoS,Load Balancer Config Abuse,Load balancer config changes cause connection draining storms.,Rate-limit LB config changes.
D-0195,/api/v1/auto-scale,POST,200,scaled,High,DoS,Auto-Scale Throttling,Rapid scale-up/down cycles cause instance churn.,Add cooldown between scaling events.
D-0196,/api/v1/drain,POST,200,draining,Medium,DoS,Connection Drain Flood,Rapid drain/un-drain cycles drop active connections.,Add minimum drain duration.
D-0197,/api/v1/shutdown,POST,200,shutting,High,DoS,Graceful Shutdown Abuse,Rapid shutdown/restart cycles prevent recovery.,Reject shutdown if recovery in progress.
D-0198,/api/v1/restart,POST,200,restarting,High,DoS,Restart Loop Attack,Repeated restarts prevent service from stabilizing.,Rate-limit restart operations.
D-0199,/api/v1/rollback,POST,200,rolled,High,DoS,Rollback Storm,Rollback chain across versions causes deployment chaos.,Limit rollback version depth.
D-0200,/api/v1/deploy,POST,200,deploying,High,DoS,Deploy Flood,Concurrent deployments exhaust pipeline capacity.,Serialize deployments per environment.
D-0201,/api/v1/migration/run,POST,200,running,High,DoS,Schema Migration Storm,Concurrent schema migrations cause table lock deadlocks.,Run migrations sequentially with lock timeout.
D-0202,/api/v1/index/create,POST,200,created,High,DoS,Index Creation Flood,Creating many indexes simultaneously locks tables.,Rate-limit index creation operations.
D-0203,/api/v1/index/drop,POST,200,dropped,High,DoS,Index Drop DoS,Dropping critical indexes causes full table scans.,Prevent dropping indexes with locks.
D-0204,/api/v1/constraint/add,POST,200,added,Medium,DoS,Constraint Add Lock,Adding constraints scans entire tables causing read locks.,Schedule constraint validation during maintenance.
D-0205,/api/v1/constraint/drop,POST,200,dropped,Medium,DoS,Constraint Drop Abuse,Dropping constraints allows invalid data to enter.,Audit constraint changes.
D-0206,/api/v1/sequence/reset,POST,200,reset,High,DoS,Sequence Reset Flood,Resetting sequences causes ID collision risks.,Restrict sequence reset to superuser only.
D-0207,/api/v1/table/truncate,POST,200,truncated,High,DoS,Table Truncation Flood,Truncating tables loses data and causes replication lag.,Require confirmation and backup before truncate.
D-0208,/api/v1/table/drop,POST,200,dropped,High,DoS,Table Drop DoS,Dropping production tables causes complete data loss.,Prevent table drops without multi-factor auth.
D-0209,/api/v1/database/switch,POST,200,switched,High,DoS,Database Switch Abuse,Switching database mid-query causes connection errors.,Require maintenance window for DB switch.
D-0210,/api/v1/replica/promote,POST,200,promoted,High,DoS,Replica Promote Race,Premature replica promotion causes split-brain.,Ensure primary is truly dead before promote.
D-0211,/api/v1/replication/stop,POST,200,stopped,High,DoS,Replication Stop DoS,Stopping replication causes data divergence.,Prevent replication stop without failover.
D-0212,/api/v1/snapshot/create,POST,200,created,High,DoS,Snapshot Creation Flood,Many snapshots fill disk and cause write pauses.,Limit snapshot retention count.
D-0213,/api/v1/snapshot/restore,POST,200,restored,High,DoS,Snapshot Restore Abuse,Restoring snapshots overwrites current data.,Require verification before restore.
D-0214,/api/v1/vacuum,POST,200,vacuumed,High,DoS,Vacuum DoS,Full vacuum locks tables for extended periods.,Use autovacuum with proper tuning.
D-0215,/api/v1/analyze,POST,200,analyzed,High,DoS,Statistics Analyze Storm,ANALYZE on all tables creates I/O storm.,Schedule analyze during low traffic.
D-0216,/api/v1/reindex,POST,200,reindexed,High,DoS,Reindex Lock Storm,Reindexing all indexes concurrently locks tables.,Reindex one index at a time.
D-0217,/api/v1/cluster,POST,200,clustered,High,DoS,Cluster Table DoS,CLUSTER rewrites entire table locking it exclusively.,Schedule cluster operations during maintenance.
D-0218,/api/v1/partition/create,POST,200,created,Medium,DoS,Partition Creation Flood,Creating many partitions causes catalog bloat.,Limit partition count per table.
D-0219,/api/v1/partition/drop,POST,200,dropped,Medium,DoS,Partition Drop Storm,Dropping partitions triggers cascade locks.,Drop partitions in detached mode first.
D-0220,/api/v1/partition/attach,POST,200,attached,Medium,DoS,Partition Attach Lock,Attaching partitions requires exclusive lock on parent.,Use non-blocking attach if possible.
D-0221,/api/v1/partition/detach,POST,200,detached,Medium,DoS,Partition Detach Storm,Detaching many partitions causes metadata churn.,Detach partitions in batches.
D-0222,/api/v1/compaction/run,POST,200,compacted,High,DoS,Table Compaction Storm,Compacting all tables creates I/O and CPU spikes.,Stagger compaction across tables.
D-0223,/api/v1/repack,POST,200,repacked,High,DoS,Table Repack Abuse,Repacking rewrites tables consuming disk space.,Schedule repack with free space monitoring.
